NP_001288811.1 NP_186887.1
XP_009101421.1 NP_001329183.1
XP_009101422.1 NP_001329184.1
XP_009101423.2 NP_199556.1
XP_009101425.1 NP_568682.1
XP_009101426.1 NP_199555.1
XP_009101427.1 NP_199548.1
XP_009101429.1 NP_178265.2
XP_009101432.1 NP_199547.1
XP_009101434.1 NP_199542.1
XP_009101436.1 NP_190549.1
XP_009101437.1 NP_568680.1
XP_009101448.1 NP_566927.1
XP_009101449.1 NP_199522.2
XP_009101450.2 NP_199518.1
XP_009101454.1 NP_568675.1
XP_009101457.1 NP_001031806.1
XP_009101458.1 NP_199513.2
XP_009101460.1 NP_568674.1
XP_009101461.2 NP_199510.1
XP_009101468.2 NP_199501.1
XP_009101479.1 NP_001330925.1
XP_009101481.1 NP_001190482.1
XP_009101482.1 NP_199496.1
XP_009101486.1 NP_001326904.1
XP_009101489.2 NP_199490.1
XP_009101493.1 NP_199488.1
XP_009101494.1 NP_199487.1
XP_009101500.1 NP_568666.1
XP_009101501.1 NP_199477.1
XP_009101505.1 NP_199473.1
XP_009101507.1 NP_199469.1
XP_009101508.1 NP_199470.1
XP_009101510.1 NP_199468.5
XP_009101511.2 NP_199458.1
XP_009101513.1 NP_568663.2
XP_009101516.1 NP_001332006.1
XP_009101518.2 NP_199452.2
XP_009101519.1 NP_195273.1
XP_009101520.1 NP_199447.1
XP_009101521.1 NP_568662.1
XP_009101523.1 NP_198963.2
XP_009101526.1 NP_199441.1
XP_009101529.1 NP_851141.1
XP_009101530.2 NP_199436.1
XP_009101532.1 NP_199434.2
XP_009101536.1 NP_190560.1
XP_009101540.1 NP_199429.1
XP_009101542.1 NP_851140.1
XP_009101543.1 NP_851138.1
XP_009101545.1 NP_199421.1
XP_009101546.1 NP_199422.1
XP_009101551.1 NP_199419.2
XP_009101553.1 NP_568653.1
XP_009101554.1 NP_199409.1
XP_009101557.1 NP_199398.1
XP_009101561.1 NP_001318746.1
XP_009101564.1 NP_199393.1
XP_009101565.2 NP_199392.1
XP_009101566.2 NP_190569.2
XP_009101567.1 NP_001190477.1
XP_009101568.2 NP_179770.1
XP_009101569.1 NP_199390.2
XP_009101571.1 NP_973487.2
XP_009101572.1 NP_191429.1
XP_009101576.1 NP_199382.1
XP_009101577.1 NP_199381.1
XP_009101579.1 NP_199379.1
XP_009101580.1 NP_974890.1
XP_009101582.1 NP_199375.2
XP_009101584.1 NP_001190475.1
XP_009101587.1 NP_001330443.1
XP_009101588.1 NP_199367.1
XP_009101590.1 NP_199366.1
XP_009101591.2 NP_001318743.1
XP_009101594.1 NP_001190474.1
XP_009101596.1 NP_001326235.1
XP_009101599.1 NP_001331471.1
XP_009101600.1 NP_568644.1
XP_009101606.1 NP_199040.1
XP_009101607.1 NP_001078716.1
XP_009101610.1 NP_199342.2
XP_009101614.1 NP_001331601.1
XP_009101616.1 NP_199332.2
XP_009101618.1 NP_199330.2
XP_009101619.1 NP_199329.1
XP_009101620.2 NP_001332060.1
XP_009101624.2 NP_199324.2
XP_009101628.1 NP_001119375.1
XP_009101630.1 NP_001330364.1
XP_009101631.2 NP_001318741.1
XP_009101632.1 NP_199295.2
XP_009101635.2 NP_199292.1
XP_009101638.1 NP_568639.1
XP_009101640.1 NP_199291.1
XP_009101641.1 NP_199288.4
XP_009101644.1 NP_568638.2
XP_009101645.2 NP_199286.1
XP_009101646.1 NP_199285.1
XP_009101647.1 NP_181588.1
XP_009101664.1 NP_001318176.1
XP_009101665.1 NP_190576.1
XP_009101669.2 NP_001318752.1
XP_009101674.1 NP_566928.1
XP_009101686.1 NP_199280.1
XP_009101687.1 NP_568637.1
XP_009101691.1 NP_680393.1
XP_009101698.1 NP_568634.1
XP_009101704.1 NP_001331391.1
XP_009101708.1 NP_199259.1
XP_009101711.1 NP_192283.1
XP_009101712.1 NP_001330654.1
XP_009101713.1 NP_199250.1
XP_009101720.1 NP_199246.1
XP_009101721.2 NP_199247.1
XP_009101722.1 NP_199245.1
XP_009101723.1 NP_194322.2
XP_009101725.1 NP_199241.2
XP_009101728.1 NP_001190471.1
XP_009101729.1 NP_001078705.1
XP_009101732.2 NP_001318738.1
XP_009101733.1 NP_190596.1
XP_009101734.1 NP_199229.1
XP_009101736.1 NP_199225.1
XP_009101738.1 NP_199221.1
XP_009101739.3 NP_199220.1
XP_009101740.1 NP_199217.1
XP_009101742.1 NP_199216.2
XP_009101744.1 NP_190600.1
XP_009101746.1 NP_568632.1
XP_009101747.1 NP_001078702.1
XP_009101748.1 NP_199211.2
XP_009101751.1 NP_199209.1
XP_009101752.1 NP_199207.1
XP_009101753.1 NP_974877.1
XP_009101754.2 NP_001190465.1
XP_009101755.1 NP_190602.1
XP_009101756.2 NP_199202.1
XP_009101757.1 NP_199200.1
XP_009101758.1 NP_199195.4
XP_009101759.1 NP_001154759.1
XP_009101761.1 NP_001190464.1
XP_009101765.1 NP_199190.1
XP_009101766.1 NP_199191.1
XP_009101767.2 NP_199189.1
XP_009101769.1 NP_001190463.1
XP_009101771.1 NP_568626.1
XP_009101774.1 NP_001330181.1
XP_009101776.1 NP_199173.2
XP_009101778.1 NP_199170.2
XP_009101780.1 NP_199166.1
XP_009101781.1 NP_175254.2
XP_009101784.1 NP_190605.1
XP_009101785.1 NP_199155.1
XP_009101786.2 NP_199153.1
XP_009101787.1 NP_851123.1
XP_009101793.1 NP_199141.1
XP_009101794.1 NP_001190461.1
XP_009101795.1 NP_001326732.1
XP_009101797.1 NP_568623.1
XP_009101798.1 NP_199139.1
XP_009101799.1 NP_195270.1
XP_009101801.2 NP_199132.1
XP_009101805.1 NP_199131.1
XP_009101806.2 NP_178215.1
XP_009101808.1 NP_568621.1
XP_009101812.1 NP_001332016.1
XP_009101813.1 NP_199124.3
XP_009101815.1 NP_199122.1
XP_009101816.1 NP_568620.1
XP_009101817.2 NP_199116.1
XP_009101820.1 NP_199111.1
XP_009101821.1 NP_190609.1
XP_009101822.1 NP_001330419.1
XP_009101823.1 NP_199107.5
XP_009101825.2 NP_974873.1
XP_009101826.1 NP_199105.1
XP_009101829.1 NP_568615.3
XP_009101831.1 NP_199102.1
XP_009101833.1 NP_568614.1
XP_009101835.1 NP_001190455.1
XP_009101838.2 NP_568611.2
XP_009101839.1 NP_564840.1
XP_009101841.1 NP_199086.2
XP_009101842.1 NP_001190451.1
XP_009101843.1 NP_568606.1
XP_009101845.1 NP_199069.1
XP_009101846.1 NP_199063.1
XP_009101848.1 NP_199062.2
XP_009101849.2 NP_193104.1
XP_009101852.2 NP_190612.3
XP_009101859.2 NP_179734.1
XP_009101861.1 NP_195665.1
XP_009101862.1 NP_195668.1
XP_009101863.1 NP_195663.1
XP_009101866.1 NP_194944.1
XP_009101867.1 NP_175193.1
XP_009101870.1 NP_001031814.1
XP_009101871.1 NP_195658.3
XP_009101872.2 NP_568061.1
XP_009101880.2 NP_195650.1
XP_009101881.2 NP_195643.1
XP_009101885.1 NP_568056.1
XP_009101886.1 NP_195638.1
XP_009101888.1 NP_195635.1
XP_009101891.1 NP_001328715.1
XP_009101893.1 NP_195631.1
XP_009101895.1 NP_195630.1
XP_009101903.2 NP_195616.2
XP_009101910.1 NP_195611.1
XP_009101916.1 NP_001329141.1
XP_009101919.1 NP_195605.1
XP_009101923.2 NP_001031810.1
XP_009101927.2 NP_195594.1
XP_009101928.1 NP_195595.1
XP_009101929.1 NP_195592.1
XP_009101931.2 NP_195587.5
XP_009101934.1 NP_195574.1
XP_009101935.1 NP_001154292.1
XP_009101936.1 NP_190621.1
XP_009101937.1 NP_001320160.1
XP_009101938.2 NP_195565.2
XP_009101939.1 NP_195566.1
XP_009101941.1 NP_568044.1
XP_009101945.1 NP_195555.2
XP_009101946.1 NP_195552.1
XP_009101947.1 NP_190183.1
XP_009101950.1 NP_001329471.1
XP_009101951.1 NP_195540.2
XP_009101953.2 NP_195538.1
XP_009101954.1 NP_568038.1
XP_009101958.1 NP_195537.2
XP_009101961.1 NP_195533.2
XP_009101962.2 NP_195532.1
XP_009101974.1 NP_566934.1
XP_009101983.1 NP_567985.1
XP_009101986.1 NP_179680.1
XP_009101992.1 NP_566935.1
XP_009101996.1 NP_565483.1
XP_009101998.2 NP_565482.1
XP_009101999.1 NP_179664.2
XP_009102004.2 NP_179650.1
XP_009102006.1 NP_850002.1
XP_009102007.1 NP_001324661.1
XP_009102008.1 NP_001118352.1
XP_009102017.1 NP_199703.1
XP_009102018.1 NP_199704.1
XP_009102019.1 NP_181151.3
XP_009102020.1 NP_850001.3
XP_009102025.1 NP_174061.1
XP_009102026.1 NP_001318254.1
XP_009102029.1 NP_179638.1
XP_009102038.1 NP_565470.1
XP_009102039.2 NP_565469.1
XP_009102043.1 NP_001324599.1
XP_009102044.1 NP_179621.1
XP_009102045.2 NP_849998.1
XP_009102048.1 NP_179618.1
XP_009102049.1 NP_179617.1
XP_009102053.2 NP_179611.2
XP_009102058.1 NP_001326125.1
XP_009102062.1 NP_187013.1
XP_009102063.2 NP_187014.1
XP_009102064.1 NP_001118563.1
XP_009102068.1 NP_187018.1
XP_009102069.1 NP_187019.1
XP_009102070.3 NP_187023.1
XP_009102072.2 NP_001154586.1
XP_009102075.1 NP_187026.1
XP_009102082.1 NP_683525.2
XP_009102083.1 NP_001319461.1
XP_009102087.1 NP_566217.1
XP_009102088.1 NP_187041.1
XP_009102089.2 NP_187044.1
XP_009102091.1 NP_001030629.1
XP_009102092.1 NP_850510.1
XP_009102094.1 NP_566219.1
XP_009102112.3 NP_179633.2
XP_009102123.1 NP_001077922.1
XP_009102124.1 NP_849994.1
XP_009102127.1 NP_001325338.1
XP_009102128.1 NP_179580.1
XP_009102131.1 NP_849992.1
XP_009102132.1 NP_194642.1
XP_009102134.1 NP_179571.1
XP_009102136.1 NP_179569.1
XP_009102140.1 NP_194668.1
XP_009102144.1 NP_179561.2
XP_009102145.1 NP_179562.1
XP_009102146.2 NP_195268.2
XP_009102147.2 NP_179559.2
XP_009102148.1 NP_179557.1
XP_009102151.1 NP_179547.1
XP_009102156.1 NP_849989.1
XP_009102157.1 NP_001323703.1
XP_009102158.1 NP_565453.1
XP_009102160.2 NP_001324482.1
XP_009102162.1 NP_565451.1
XP_009102164.1 NP_565449.1
XP_009102178.1 NP_179523.1
XP_009102179.1 NP_179522.1
XP_009102181.1 NP_179521.1
XP_009102183.2 NP_001189552.1
XP_009102185.1 NP_001324862.1
XP_009102186.1 NP_179517.1
XP_009102196.1 NP_001324171.1
XP_009102202.2 NP_001318247.1
XP_009102203.1 NP_565446.1
XP_009102205.2 NP_179486.1
XP_009102209.1 NP_849983.1
XP_009102212.1 NP_565443.1
XP_009102213.1 NP_179480.2
XP_009102215.1 NP_179476.2
XP_009102218.1 NP_001031622.1
XP_009102219.1 NP_179475.3
XP_009102220.1 NP_179470.1
XP_009102225.1 NP_849980.1
XP_009102226.1 NP_179461.1
XP_009102227.1 NP_028489.2
XP_009102228.1 NP_179457.1
XP_009102241.2 NP_001323986.1
XP_009102242.1 NP_001324511.1
XP_009102244.1 NP_179432.3
XP_009102247.1 NP_179430.1
XP_009102249.1 NP_001077912.1
XP_009102252.1 NP_001031369.1
XP_009102253.1 NP_001318245.1
XP_009102256.1 NP_179417.1
XP_009102257.1 NP_849974.1
XP_009102259.1 NP_179414.2
XP_009102260.1 NP_195624.1
XP_009102266.2 NP_179408.1
XP_009102275.1 NP_179407.1
XP_009102280.1 NP_001323479.1
XP_009102282.1 NP_001318244.1
XP_009102283.1 NP_568522.1
XP_009102287.2 NP_179393.1
XP_009102292.1 NP_001325319.1
XP_009102294.1 NP_565430.1
XP_009102295.1 NP_179388.1
XP_009102304.2 NP_565428.1
XP_009102311.2 NP_565364.1
XP_009102314.1 NP_179076.3
XP_009102315.1 NP_001189526.1
XP_009102317.1 NP_198566.2
XP_009102326.1 NP_001077892.1
XP_009102329.2 NP_179113.2
XP_009102330.1 NP_179126.2
XP_009102332.1 NP_565372.1
XP_009102333.1 NP_179133.1
XP_009102340.1 NP_178690.1
XP_009102341.1 NP_565335.1
XP_009102342.1 NP_001325112.1
XP_009102343.1 NP_178661.2
XP_009102344.1 NP_001318205.1
XP_009102347.1 NP_565333.1
XP_009102351.1 NP_565332.1
XP_009102352.1 NP_178657.1
XP_009102353.1 NP_178651.1
XP_009102354.1 NP_565330.1
XP_009102355.1 NP_178641.1
XP_009102356.1 NP_178648.1
XP_009102357.1 NP_027726.1
XP_009102359.1 NP_178637.2
XP_009102361.1 NP_565324.1
XP_009102362.1 NP_001324109.1
XP_009102365.1 NP_001154616.1
XP_009102369.1 NP_195265.2
XP_009102372.1 NP_027676.1
XP_009102376.1 NP_565317.1
XP_009102384.1 NP_178528.1
XP_009102386.1 NP_565311.1
XP_009102388.1 NP_178511.2
XP_009102391.1 NP_850987.1
XP_009102392.1 NP_565310.1
XP_009102398.2 NP_178507.1
XP_009102399.1 NP_001324639.1
XP_009102402.1 NP_178505.1
XP_009102404.1 NP_178659.1
XP_009102405.1 NP_178499.2
XP_009102406.1 NP_565308.1
XP_009102409.1 NP_178491.1
XP_009102411.1 NP_566765.1
XP_009102412.1 NP_189171.2
XP_009102413.1 NP_189170.1
XP_009102414.1 NP_001319641.1
XP_009102415.1 NP_189167.2
XP_009102416.1 NP_189162.1
XP_009102418.1 NP_001185022.1
XP_009102420.1 NP_189158.3
XP_009102421.1 NP_001327922.1
XP_009102427.1 NP_174543.1
XP_009102431.1 NP_189149.2
XP_009102432.1 NP_566759.1
XP_009102440.1 NP_189141.1
XP_009102441.1 NP_566758.1
XP_009102442.1 NP_001030762.1
XP_009102452.2 NP_001325431.1
XP_009102453.1 NP_189130.1
XP_009102454.1 NP_001327839.1
XP_009102458.1 NP_566755.1
XP_009102464.2 NP_195264.2
XP_009102465.1 NP_001325509.1
XP_009102470.1 NP_001326957.1
XP_009102472.1 NP_001030761.1
XP_009102475.1 NP_566768.1
XP_009102476.1 NP_189110.1
XP_009102477.1 NP_001319635.1
XP_009102479.1 NP_189105.1
XP_009102492.1 NP_001319633.1
XP_009102495.1 NP_190597.1
XP_009102497.1 NP_974357.1
XP_009102500.1 NP_189098.1
XP_009102501.1 NP_566752.1
XP_009102502.2 NP_189095.1
XP_009102503.1 NP_190358.3
XP_009102504.1 NP_189093.1
XP_009102507.1 NP_001319630.1
XP_009102510.1 NP_189087.1
XP_009102512.1 NP_189085.1
XP_009102517.1 NP_189075.2
XP_009102520.1 NP_566746.1
XP_009102521.1 NP_189074.1
XP_009102525.1 NP_564725.1
XP_009102529.1 NP_189034.1
XP_009102531.1 NP_189036.1
XP_009102534.1 NP_189037.1
XP_009102538.1 NP_566742.1
XP_009102539.1 NP_001319628.1
XP_009102541.1 NP_176083.2
XP_009102542.1 NP_001326131.1
XP_009102544.2 NP_001319629.1
XP_009102546.1 NP_195556.1
XP_009102548.2 NP_001320917.1
XP_009102554.1 NP_189062.3
XP_009102556.1 NP_189063.2
XP_009102558.1 NP_001031234.1
XP_009102560.1 NP_189065.2
XP_009102561.1 NP_189066.1
XP_009102564.1 NP_189033.1
XP_009102565.1 NP_176098.1
XP_009102570.1 NP_189030.1
XP_009102572.1 NP_001189958.1
XP_009102573.1 NP_566741.1
XP_009102578.1 NP_566740.1
XP_009102582.1 NP_189022.1
XP_009102584.1 NP_566739.1
XP_009102587.1 NP_189016.2
XP_009102588.1 NP_001322911.1
XP_009102589.1 NP_566738.1
XP_009102590.1 NP_566737.1
XP_009102598.1 NP_001118683.1
XP_009102599.1 NP_176105.1
XP_009102600.1 NP_566732.1
XP_009102601.1 NP_001030757.1
XP_009102604.1 NP_189001.1
XP_009102605.1 NP_189000.1
XP_009102606.1 NP_188996.2
XP_009102607.1 NP_001326293.1
XP_009102608.1 NP_188995.2
XP_009102611.1 NP_001327887.1
XP_009102612.1 NP_180191.1
XP_009102619.1 NP_188985.2
XP_009102621.1 NP_566729.1
XP_009102622.1 NP_566728.1
XP_009102625.1 NP_188979.2
XP_009102626.1 NP_188978.2
XP_009102627.1 NP_188977.4
XP_009102629.1 NP_188975.3
XP_009102630.1 NP_566727.1
XP_009102631.1 NP_188973.2
XP_009102634.1 NP_001327090.1
XP_009102637.1 NP_001078202.2
XP_009102638.1 NP_566724.1
XP_009102639.1 NP_850628.1
XP_009102641.1 NP_001189953.1
XP_009102642.2 NP_001185259.1
XP_009102649.1 NP_188963.2
XP_009102650.1 NP_188962.2
XP_009102654.1 NP_001319623.1
XP_009102656.1 NP_683584.2
XP_009102659.1 NP_188957.2
XP_009102661.3 NP_174447.2
XP_009102662.1 NP_174426.2
XP_009102663.1 NP_564379.2
XP_009102666.1 NP_174417.1
XP_009102667.1 NP_174416.2
XP_009102670.1 NP_001031121.1
XP_009102671.1 NP_174401.1
XP_009102672.2 NP_564374.1
XP_009102674.1 NP_567479.5
XP_009102675.2 NP_174390.2
XP_009102676.1 NP_001077635.1
XP_009102680.1 NP_174372.1
XP_009102687.3 NP_174363.2
XP_009102689.1 NP_174359.1
XP_009102690.1 NP_174358.1
XP_009102701.1 NP_176116.2
XP_009102710.1 NP_564352.1
XP_009102711.2 NP_192922.1
XP_009102713.1 NP_001319264.1
XP_009102714.1 NP_001328779.1
XP_009102716.2 NP_567381.1
XP_009102734.1 NP_567983.1
XP_009102735.1 NP_849824.1
XP_009102748.1 NP_001322631.1
XP_009102792.1 NP_174296.1
XP_009102797.2 NP_564342.1
XP_009102799.2 NP_564341.2
XP_009102802.2 NP_564337.1
XP_009102804.1 NP_001328325.1
XP_009102805.1 NP_176124.2
XP_009102815.1 NP_175760.1
XP_009102816.1 NP_001031573.1
XP_009102819.1 NP_565613.1
XP_009102820.2 NP_180368.1
XP_009102821.1 NP_001327947.1
XP_009102836.1 NP_001077624.1
XP_009102845.1 NP_176132.1
XP_009102847.1 NP_174247.2
XP_009102850.1 NP_174245.1
XP_009102852.1 NP_001031109.1
XP_009102854.1 NP_001321751.1
XP_009102864.1 NP_001319106.1
XP_009102865.1 NP_174221.2
XP_009102869.1 NP_001319268.1
XP_009102874.1 NP_564323.1
XP_009102880.1 NP_001321479.1
XP_009102883.1 NP_567434.1
XP_009102885.1 NP_001319104.1
XP_009102887.1 NP_564318.1
XP_009102888.1 NP_564317.1
XP_009102889.1 NP_001319102.1
XP_009102892.1 NP_174180.1
XP_009102893.1 NP_564737.1
XP_009102897.1 NP_564312.1
XP_009102902.1 NP_001031102.2
XP_009102903.1 NP_174170.1
XP_009102905.1 NP_564743.1
XP_009102909.1 NP_174166.1
XP_009102913.1 NP_001321060.1
XP_009102915.1 NP_001319097.1
XP_009102917.1 NP_567982.1
XP_009102919.1 NP_001031100.2
XP_009102920.1 NP_564304.1
XP_009102921.1 NP_001077616.1
XP_009102922.1 NP_001117368.1
XP_009102924.1 NP_564746.1
XP_009102925.2 NP_174145.1
XP_009102926.1 NP_174143.1
XP_009102929.2 NP_001321756.1
XP_009102930.2 NP_174134.1
XP_009102935.1 NP_001320339.1
XP_009102943.1 NP_174109.2
XP_009102961.1 NP_564292.1
XP_009102962.1 NP_174086.1
XP_009102966.1 NP_564290.2
XP_009102967.1 NP_564289.1
XP_009102970.1 NP_564286.1
XP_009102979.1 NP_564282.1
XP_009102980.1 NP_001077606.1
XP_009102981.2 NP_001321074.1
XP_009102986.1 NP_001077603.1
XP_009102988.1 NP_564277.1
XP_009102989.1 NP_564276.1
XP_009102993.1 NP_001077602.1
XP_009102998.2 NP_173839.1
XP_009103000.1 NP_173838.1
XP_009103002.1 NP_173842.2
XP_009103006.1 NP_173844.2
XP_009103021.1 NP_564747.1
XP_009103028.1 NP_564748.1
XP_009103032.1 NP_173856.1
XP_009103033.1 NP_173857.2
XP_009103034.1 NP_565622.1
XP_009103036.1 NP_173858.5
XP_009103038.2 NP_173859.1
XP_009103039.1 NP_173860.4
XP_009103048.1 NP_173869.1
XP_009103051.2 NP_001321435.1
XP_009103063.1 NP_001322718.1
XP_009103064.1 NP_001185095.1
XP_009103065.1 NP_564235.1
XP_009103068.1 NP_173915.2
XP_009103072.1 NP_173922.1
XP_009103078.2 NP_001185096.1
XP_009103079.1 NP_196125.1
XP_009103080.2 NP_176048.1
XP_009103084.1 NP_173942.2
XP_009103085.1 NP_173944.1
XP_009103086.1 NP_564241.1
XP_009103087.1 NP_173947.1
XP_009103092.1 NP_173968.1
XP_009103098.1 NP_173984.1
XP_009103103.1 NP_564253.2
XP_009103104.1 NP_564254.1
XP_009103105.1 NP_564255.1
XP_009103106.1 NP_564259.1
XP_009103107.2 NP_564260.1
XP_009103111.1 NP_564263.1
XP_009103112.1 NP_001319087.1
XP_009103113.1 NP_564264.1
XP_009103114.2 NP_564265.1
XP_009103117.1 NP_564270.1
XP_009103119.1 NP_174024.2
XP_009103120.1 NP_174025.4
XP_009103122.2 NP_174028.2
XP_009103128.2 NP_174032.2
XP_009103131.2 NP_174042.1
XP_009103132.1 NP_173828.1
XP_009103133.1 NP_173827.1
XP_009103136.2 NP_001031208.1
XP_009103138.2 NP_173816.2
XP_009103139.1 NP_173818.1
XP_009103143.2 NP_849830.1
XP_009103149.1 NP_001319272.1
XP_009103150.2 NP_001185075.1
XP_009103151.2 NP_173802.1
XP_009103154.1 NP_564206.1
XP_009103155.1 NP_564203.1
XP_009103156.1 NP_001190923.1
XP_009103160.2 NP_001321762.1
XP_009103161.1 NP_180335.2
XP_009103163.1 NP_173773.1
XP_009103171.1 NP_001323060.1
XP_009103181.1 NP_173755.1
XP_009103182.2 NP_564192.2
XP_009103186.1 NP_001322591.1
XP_009103187.1 NP_173738.2
XP_009103189.1 NP_173734.1
XP_009103192.1 NP_564190.1
XP_009103195.1 NP_176194.1
XP_009103196.1 NP_001117336.1
XP_009103199.1 NP_173722.1
XP_009103201.1 NP_001077584.1
XP_009103213.1 NP_176193.2
XP_009103215.1 NP_173701.1
XP_009103217.1 NP_564182.1
XP_009103218.1 NP_173695.1
XP_009103220.1 NP_001323024.1
XP_009103221.1 NP_001117401.1
