XP_018432515.1 NP_201156.1
XP_018433383.1 NP_001332236.1
XP_018433389.1 NP_173078.1
XP_018433390.1 NP_181205.2
XP_018433391.1 NP_973613.1
XP_018433393.1 NP_181203.2
XP_018433395.1 NP_199208.1
XP_018433396.1 NP_190364.1
XP_018433401.1 NP_563823.1
XP_018433403.1 NP_568628.1
XP_018433404.1 NP_181036.2
XP_018433406.1 NP_001322315.1
XP_018433407.1 NP_172475.3
XP_018433411.1 NP_001190026.1
XP_018433413.1 NP_568522.1
XP_018433414.1 NP_566462.1
XP_018433417.1 NP_564049.1
XP_018433418.1 NP_199512.2
XP_018433419.1 NP_850630.1
XP_018433420.1 NP_001318214.1
XP_018433421.1 NP_188529.2
XP_018433423.1 NP_172969.1
XP_018433426.1 NP_565423.1
XP_018433427.1 NP_173261.1
XP_018433428.1 NP_849966.2
XP_018433431.1 NP_172812.2
XP_018433432.1 NP_973478.1
XP_018433433.1 NP_850666.1
XP_018433434.1 NP_190328.1
XP_018433436.1 NP_001185004.1
XP_018433438.1 NP_188230.1
XP_018433441.1 NP_190369.2
XP_018433442.1 NP_201483.2
XP_018433443.1 NP_566284.1
XP_018433446.1 NP_181336.1
XP_018433447.1 NP_566770.1
XP_018433448.1 NP_564184.1
XP_018433452.1 NP_172473.1
XP_018433453.1 NP_187212.1
XP_018433458.1 NP_190575.1
XP_018433459.1 NP_173522.1
XP_018433465.1 NP_181234.1
XP_018433466.1 NP_179452.1
XP_018433467.1 NP_001117519.1
XP_018433473.1 NP_565382.4
XP_018433480.1 NP_001324632.1
XP_018433483.1 NP_199184.1
XP_018433490.1 NP_181996.1
XP_018433491.1 NP_850421.1
XP_018433493.1 NP_188923.1
XP_018433494.1 NP_179923.2
XP_018433497.1 NP_179770.1
XP_018433498.1 NP_188050.1
XP_018433499.1 NP_173085.1
XP_018433501.1 NP_177545.1
XP_018433503.1 NP_001325616.1
XP_018433504.1 NP_850488.1
XP_018433510.1 NP_173082.1
XP_018433513.1 NP_187108.1
XP_018433514.1 NP_187831.1
XP_018433516.1 NP_187703.1
XP_018433518.1 NP_172535.1
XP_018433519.1 NP_180056.1
XP_018433520.1 NP_171809.1
XP_018433521.1 NP_188213.1
XP_018433525.1 NP_197838.2
XP_018433527.1 NP_001331633.1
XP_018433529.1 NP_172563.1
XP_018433532.1 NP_001325999.1
XP_018433538.1 NP_176358.2
XP_018433539.1 NP_176207.1
XP_018433540.1 NP_179721.1
XP_018433541.1 NP_001184896.1
XP_018433542.1 NP_001322513.1
XP_018433545.1 NP_001077750.1
XP_018433549.1 NP_199394.1
XP_018433551.1 NP_001078104.1
XP_018433552.1 NP_001031369.1
XP_018433554.1 NP_181151.3
XP_018433555.1 NP_001319643.1
XP_018433562.1 NP_173669.1
XP_018433563.1 NP_001327260.1
XP_018433564.1 NP_188220.1
XP_018433565.1 NP_180565.1
XP_018433566.1 NP_001077933.1
XP_018433567.1 NP_188283.1
XP_018433573.1 NP_173670.2
XP_018433575.1 NP_180785.1
XP_018433576.1 NP_565842.1
XP_018433577.1 NP_565406.1
XP_018433584.1 NP_564180.1
XP_018433585.1 NP_181344.2
XP_018433586.1 NP_001323803.1
XP_018433587.1 NP_001030665.1
XP_018433589.1 NP_565500.1
XP_018433590.1 NP_176256.2
XP_018433594.1 NP_850959.1
XP_018433596.1 NP_199588.1
XP_018433598.1 NP_176001.2
XP_018433599.1 NP_179395.1
XP_018433600.1 NP_566981.1
XP_018433601.1 NP_975003.1
XP_018433603.1 NP_201440.1
XP_018433604.1 NP_566343.1
XP_018433605.1 NP_566342.1
XP_018433607.1 NP_179409.1
XP_018433608.1 NP_001324839.1
XP_018433610.1 NP_179329.1
XP_018433611.1 NP_187966.1
XP_018433612.1 NP_172353.1
XP_018433614.1 NP_001326079.1
XP_018433615.1 NP_563916.1
XP_018433617.1 NP_001031374.1
XP_018433619.1 NP_568199.1
XP_018433620.1 NP_179564.1
XP_018433623.1 NP_563826.1
XP_018433625.1 NP_001324387.1
XP_018433626.1 NP_201476.1
XP_018433627.1 NP_001030731.1
XP_018433629.1 NP_001326351.1
XP_018433637.1 NP_001319056.1
XP_018433642.1 NP_190700.2
XP_018433643.1 NP_565729.1
XP_018433649.1 NP_190477.2
XP_018433650.1 NP_565456.2
XP_018433652.1 NP_179280.1
XP_018433657.1 NP_563827.1
XP_018433661.1 NP_180897.1
XP_018433663.1 NP_001154639.1
XP_018433664.1 NP_187939.1
XP_018433665.1 NP_190090.2
XP_018433667.1 NP_566717.1
XP_018433668.1 NP_564717.1
XP_018433674.1 NP_001325994.1
XP_018433677.1 NP_171717.2
XP_018433678.1 NP_030961.1
XP_018433679.1 NP_181951.3
XP_018433680.1 NP_178465.1
XP_018433682.1 NP_181315.2
XP_018433683.1 NP_850684.1
XP_018433684.1 NP_566968.1
XP_018433685.1 NP_179256.3
XP_018433688.1 NP_001077584.1
XP_018433690.1 NP_199408.1
XP_018433692.1 NP_182004.2
XP_018433694.1 NP_566122.1
XP_018433695.1 NP_849628.1
XP_018433697.1 NP_565372.1
XP_018433698.1 NP_172856.1
XP_018433701.1 NP_171718.1
XP_018433705.1 NP_001325094.1
XP_018433706.1 NP_188814.1
XP_018433707.1 NP_181209.1
XP_018433708.1 NP_181211.1
XP_018433710.1 NP_181212.2
XP_018433711.1 NP_197822.1
XP_018433712.1 NP_197821.1
XP_018433714.1 NP_001325599.1
XP_018433715.1 NP_189574.2
XP_018433717.1 NP_190657.1
XP_018433719.1 NP_176029.1
XP_018433720.1 NP_176028.1
XP_018433724.1 NP_566911.1
XP_018433726.1 NP_029426.1
XP_018433734.1 NP_001189708.1
XP_018433736.1 NP_001322331.1
XP_018433737.1 NP_001326099.1
XP_018433741.1 NP_001184962.1
XP_018433742.1 NP_201487.1
XP_018433743.1 NP_181773.2
XP_018433745.1 NP_001331415.1
XP_018433747.1 NP_182049.1
XP_018433748.1 NP_188985.2
XP_018433753.1 NP_001325061.1
XP_018433754.1 NP_182099.1
XP_018433755.1 NP_178345.1
XP_018433760.1 NP_190047.2
XP_018433761.1 NP_173858.5
XP_018433762.1 NP_565916.1
XP_018433763.1 NP_181972.2
XP_018433771.1 NP_001319561.1
XP_018433772.1 NP_001321860.1
XP_018433778.1 NP_565257.1
XP_018433779.1 NP_181837.1
XP_018433781.1 NP_566651.1
XP_018433782.1 NP_178331.2
XP_018433785.1 NP_566923.1
XP_018433788.1 NP_172889.1
XP_018433789.1 NP_566065.1
XP_018433794.1 NP_566296.1
XP_018433795.1 NP_001031046.1
XP_018433796.1 NP_190385.1
XP_018433798.1 NP_173722.1
XP_018433799.1 NP_179547.1
XP_018433800.1 NP_001119511.1
XP_018433809.1 NP_001318269.1
XP_018433810.1 NP_001324584.1
XP_018433812.1 NP_173661.1
XP_018433814.1 NP_180035.1
XP_018433820.1 NP_181920.1
XP_018433821.1 NP_001118521.1
XP_018433824.1 NP_180771.1
XP_018433826.1 NP_566129.1
XP_018433827.1 NP_001319438.1
XP_018433830.1 NP_566950.1
XP_018433831.1 NP_001326942.1
XP_018433832.1 NP_190708.1
XP_018433839.1 NP_180865.2
XP_018433841.1 NP_001321001.1
XP_018433843.1 NP_973600.1
XP_018433844.1 NP_565791.1
XP_018433847.1 NP_565881.1
XP_018433849.1 NP_001319006.1
XP_018433851.1 NP_186881.2
XP_018433856.1 NP_001324689.1
XP_018433858.1 NP_173687.1
XP_018433861.1 NP_001318262.1
XP_018433862.1 NP_001324691.1
XP_018433863.1 NP_190767.1
XP_018433864.1 NP_001030831.1
XP_018433865.1 NP_175882.2
XP_018433868.1 NP_178285.1
XP_018433870.1 NP_001332007.1
XP_018433871.1 NP_199521.1
XP_018433872.1 NP_001324294.1
XP_018433873.1 NP_565427.1
XP_018433876.1 NP_850213.1
XP_018433878.1 NP_001077581.1
XP_018433880.1 NP_182216.1
XP_018433886.1 NP_201323.1
XP_018433887.1 NP_849699.1
XP_018433889.1 NP_201004.2
XP_018433891.1 NP_563940.1
XP_018433892.1 NP_683305.3
XP_018433894.1 NP_190579.2
XP_018433895.1 NP_564179.1
XP_018433896.1 NP_850205.1
XP_018433897.1 NP_001118434.1
XP_018433898.1 NP_001327805.1
XP_018433902.1 NP_568976.1
XP_018433906.1 NP_565965.1
XP_018433920.1 NP_188368.2
XP_018433922.1 NP_564178.2
XP_018433924.1 NP_190339.1
XP_018433927.1 NP_566961.1
XP_018433928.1 NP_174998.1
XP_018433929.1 NP_566825.1
XP_018433933.1 NP_190483.3
XP_018433938.1 NP_181477.1
XP_018433939.1 NP_182191.1
XP_018433940.1 NP_001327003.1
XP_018433943.1 NP_187928.2
XP_018433946.1 NP_001322780.1
XP_018433949.1 NP_973978.2
XP_018433952.1 NP_198034.2
XP_018433960.1 NP_973979.2
XP_018433961.1 NP_001318424.1
XP_018433962.1 NP_001078058.1
XP_018433966.1 NP_565358.1
XP_018433967.1 NP_566102.1
XP_018433971.1 NP_188441.1
XP_018433972.1 NP_001322811.1
XP_018433973.1 NP_173985.1
XP_018433974.1 NP_001117282.1
XP_018433975.1 NP_172869.2
XP_018433976.1 NP_680219.1
XP_018433978.1 NP_180909.2
XP_018433985.1 NP_565576.1
XP_018433987.1 NP_190048.2
XP_018433990.1 NP_182134.2
XP_018433991.1 NP_563862.1
XP_018433992.1 NP_851062.2
XP_018433995.1 NP_001323663.1
XP_018433998.1 NP_199523.1
XP_018434002.1 NP_565841.1
XP_018434004.1 NP_186963.1
XP_018434007.1 NP_001325144.1
XP_018434009.1 NP_564746.1
XP_018434011.1 NP_181838.1
XP_018434014.1 NP_001324735.1
XP_018434021.1 NP_174294.1
XP_018434022.1 NP_181819.1
XP_018434023.1 NP_190292.1
XP_018434024.1 NP_190206.2
XP_018434025.1 NP_001030817.1
XP_018434026.1 NP_001031196.1
XP_018434028.1 NP_179701.1
XP_018434030.1 NP_568671.1
XP_018434031.1 NP_181539.1
XP_018434032.1 NP_564345.1
XP_018434033.1 NP_566901.1
XP_018434045.1 NP_187347.2
XP_018434046.1 NP_174292.2
XP_018434047.1 NP_179621.1
XP_018434049.1 NP_181027.1
XP_018434050.1 NP_181989.1
XP_018434051.1 NP_180946.2
XP_018434053.1 NP_182280.1
XP_018434055.1 NP_195803.1
XP_018434056.1 NP_974876.1
XP_018434059.1 NP_179441.1
XP_018434060.1 NP_001326466.1
XP_018434062.1 NP_001323457.1
XP_018434063.1 NP_001323456.1
XP_018434067.1 NP_181956.2
XP_018434068.1 NP_201538.1
XP_018434069.1 NP_566396.1
XP_018434071.1 NP_188026.1
XP_018434076.1 NP_001322906.1
XP_018434080.1 NP_181224.1
XP_018434084.1 NP_181166.3
XP_018434085.1 NP_181733.1
XP_018434087.1 NP_683575.2
XP_018434088.1 NP_187747.1
XP_018434091.1 NP_973807.1
XP_018434093.1 NP_001325113.1
XP_018434105.1 NP_199529.1
XP_018434107.1 NP_201058.1
XP_018434108.1 NP_179611.2
XP_018434116.1 NP_181067.1
XP_018434117.1 NP_190747.1
XP_018434118.1 NP_199475.1
XP_018434120.1 NP_001185065.1
XP_018434121.1 NP_173537.1
XP_018434122.1 NP_187360.1
XP_018434123.1 NP_179370.2
XP_018434126.1 NP_565914.1
XP_018434127.1 NP_001323468.1
XP_018434128.1 NP_001323467.1
XP_018434130.1 NP_180956.2
XP_018434133.1 NP_671857.2
XP_018434135.1 NP_181447.2
XP_018434136.1 NP_565660.1
XP_018434139.1 NP_566215.1
XP_018434144.1 NP_199533.1
XP_018434145.1 NP_188512.1
XP_018434150.1 NP_001077748.1
XP_018434152.1 NP_179521.1
XP_018434156.1 NP_001324447.1
XP_018434157.1 NP_001118524.1
XP_018434158.1 NP_565712.1
XP_018434160.1 NP_850069.1
XP_018434162.1 NP_190766.1
XP_018434164.1 NP_565392.1
XP_018434165.1 NP_182258.1
XP_018434167.1 NP_174562.2
XP_018434168.1 NP_182034.1
XP_018434171.1 NP_181513.3
XP_018434173.1 NP_001324811.1
XP_018434174.1 NP_180477.1
XP_018434178.1 NP_201157.4
XP_018434179.1 NP_174563.2
XP_018434180.1 NP_564070.1
XP_018434182.1 NP_199341.1
XP_018434183.1 NP_180692.3
XP_018434187.1 NP_182257.1
XP_018434188.1 NP_172097.1
XP_018434190.1 NP_179548.1
XP_018434191.1 NP_180800.1
XP_018434192.1 NP_566585.1
XP_018434193.1 NP_180802.1
XP_018434196.1 NP_198051.1
XP_018434198.1 NP_181269.1
XP_018434199.1 NP_563757.1
XP_018434201.1 NP_001031551.1
XP_018434203.1 NP_172499.1
XP_018434205.1 NP_189988.1
XP_018434206.1 NP_001319679.1
XP_018434214.1 NP_179828.1
XP_018434222.1 NP_001327119.1
XP_018434224.1 NP_181487.1
XP_018434226.1 NP_564641.2
XP_018434229.1 NP_001323927.1
XP_018434232.1 NP_178256.1
XP_018434233.1 NP_565703.1
XP_018434236.1 NP_199525.2
XP_018434237.1 NP_176041.2
XP_018434239.1 NP_001318663.1
XP_018434243.1 NP_199407.1
XP_018434244.1 NP_187424.1
XP_018434247.1 NP_001323551.1
XP_018434248.1 NP_566563.1
XP_018434252.1 NP_173968.1
XP_018434254.1 NP_001329995.1
XP_018434255.1 NP_182092.1
XP_018434256.1 NP_179667.2
XP_018434257.1 NP_196284.1
XP_018434259.1 NP_563945.2
XP_018434266.1 NP_565747.1
XP_018434270.1 NP_191283.2
XP_018434271.1 NP_565909.1
XP_018434272.1 NP_189940.1
XP_018434273.1 NP_174804.4
XP_018434278.1 NP_176075.1
XP_018434281.1 NP_190461.1
XP_018434282.1 NP_197763.1
XP_018434283.1 NP_001189622.1
XP_018434284.1 NP_175383.1
XP_018434285.1 NP_001324064.1
XP_018434287.1 NP_568708.1
XP_018434288.1 NP_001323962.1
XP_018434289.1 NP_199674.1
XP_018434292.1 NP_001118477.4
XP_018434297.1 NP_201536.1
