XM_009121514.3	gene-LOC103844700
XM_033281717.1	gene-LOC117128904
XM_009121406.2	gene-LOC103844607
XM_033282265.1	gene-LOC103844729
XM_009121538.3	gene-LOC103844727
XM_033281703.1	gene-LOC103844727
XM_033282266.1	gene-LOC117129001
XM_033281715.1	gene-LOC103844724
XM_009121403.3	gene-LOC103844602
XM_009121400.3	gene-LOC103844600
XM_009121402.3	gene-LOC103844601
XM_009121401.3	gene-LOC103844601
XM_009121399.3	gene-LOC103844599
XM_009121398.3	gene-LOC103844598
XM_018655653.2	gene-LOC103844597
XM_009121397.3	gene-LOC103844597
XM_033282451.1	gene-LOC103844596
XM_009121394.3	gene-LOC103844594
XM_009121393.3	gene-LOC103844592
XM_033282436.1	gene-LOC103844723
XM_009121534.1	gene-LOC103844722
XM_009121392.3	gene-LOC103844591
XM_009121391.3	gene-LOC103844590
XM_009121389.2	gene-LOC103844590
XM_009121390.3	gene-LOC103844590
XM_009121388.3	gene-LOC103844589
XM_009121387.3	gene-LOC103844588
XM_009121386.3	gene-LOC103844587
XM_009121382.3	gene-LOC103844582
XM_009121532.2	gene-LOC103844720
XM_009121383.3	gene-LOC103844583
XM_033282467.1	gene-LOC103844586
XM_009121381.2	gene-LOC103844581
XM_009121378.3	gene-LOC103844579
XM_009121379.3	gene-LOC103844579
XM_009121380.3	gene-LOC103844580
XM_009121377.3	gene-LOC103844578
XM_033282389.1	gene-LOC103844578
XM_009121376.3	gene-LOC103844577
XM_033282455.1	gene-LOC103844576
XM_033282267.1	gene-LOC103844718
XM_009121374.3	gene-LOC103844575
XM_018655505.2	gene-LOC103844717
XM_009121368.3	gene-LOC103844567
XM_009121369.3	gene-LOC103844568
XM_009121370.3	gene-LOC103844569
XM_009121371.3	gene-LOC103844570
XM_018655352.1	gene-LOC108870121
XM_033282421.1	gene-LOC103844572
XM_009121372.3	gene-LOC103844572
XM_033282422.1	gene-LOC103844572
XM_009121373.3	gene-LOC103844573
XM_009121367.3	gene-LOC103844566
XM_009121366.3	gene-LOC103844565
XM_009121365.3	gene-LOC103844564
XM_009121364.3	gene-LOC103844563
XM_009121362.3	gene-LOC103844561
XM_009121363.3	gene-LOC103844562
XM_009121361.3	gene-LOC103844560
XM_009121360.3	gene-LOC103844559
XM_009121359.3	gene-LOC103844558
XM_009121358.3	gene-LOC103844557
XM_009121356.3	gene-LOC103844555
XM_009121357.3	gene-LOC103844556
XM_009121355.3	gene-LOC103844554
XM_033282454.1	gene-LOC103844552
XM_009121353.3	gene-LOC103844552
XM_009121354.3	gene-LOC103844552
XM_009121351.3	gene-LOC103844551
XM_009121352.3	gene-LOC103844551
XM_033282390.1	gene-LOC103844551
XM_009121350.3	gene-LOC103844550
XM_009121349.3	gene-LOC103844549
XM_009121346.2	gene-LOC103844548
XM_009121344.2	gene-LOC103844547
XM_009121342.3	gene-LOC103844545
XM_009121343.3	gene-LOC103844545
XM_033282476.1	gene-LOC103844544
XM_009121339.3	gene-LOC103844542
XM_033282403.1	gene-LOC103844542
XM_033282475.1	gene-LOC103844543
XM_018655567.2	gene-LOC108868796
XM_009121337.3	gene-LOC103844540
XM_009121338.3	gene-LOC103844540
XM_033282407.1	gene-LOC103844540
XM_033282469.1	gene-LOC103844538
XM_033282447.1	gene-LOC103844536
XM_033282449.1	gene-LOC103844536
XM_009121333.3	gene-LOC103844536
XM_033282450.1	gene-LOC103844536
XM_033282448.1	gene-LOC103844536
XM_009121334.3	gene-LOC103844536
XM_009121335.3	gene-LOC103844537
XM_009121331.3	gene-LOC103844535
XM_033282386.1	gene-LOC103844534
XM_009121330.3	gene-LOC103844534
XM_009121527.3	gene-LOC103844716
XM_033282474.1	gene-LOC117129090
XM_033282462.1	gene-LOC117129081
XM_009121324.3	gene-LOC103844530
XM_033282387.1	gene-LOC103844532
XM_033282400.1	gene-LOC103844533
XM_033282401.1	gene-LOC103844533
XM_009121323.3	gene-LOC103844529
XM_033282435.1	gene-LOC103844712
XM_009121322.3	gene-LOC103844528
XM_009121321.2	gene-LOC103844527
XM_009121320.3	gene-LOC103844526
XM_009121319.2	gene-LOC103844525
XM_033282457.1	gene-LOC103844525
XM_009121318.3	gene-LOC103844524
XM_033282420.1	gene-LOC103844524
XM_009121316.2	gene-LOC103844523
XM_009121310.3	gene-LOC103844521
XM_009121314.3	gene-LOC103844521
XM_018655637.2	gene-LOC103844521
XM_033282419.1	gene-LOC103844521
XM_009121312.3	gene-LOC103844521
XM_033282418.1	gene-LOC103844521
XM_018655634.2	gene-LOC103844521
XM_009121313.3	gene-LOC103844521
XM_018655636.2	gene-LOC103844521
XM_018655635.2	gene-LOC103844521
XM_033282437.1	gene-LOC103844520
XM_033282398.1	gene-LOC103844710
XM_033282278.1	gene-LOC117129003
XM_033282461.1	gene-LOC103844708
XM_009121308.3	gene-LOC103844518
XM_009121307.3	gene-LOC103844518
XM_033282466.1	gene-LOC103844516
XM_009121306.3	gene-LOC103844517
XM_009121302.3	gene-LOC103844514
XM_009121303.3	gene-LOC103844515
XM_009121301.3	gene-LOC103844513
XM_009121300.3	gene-LOC103844512
XM_033282399.1	gene-LOC117129043
XM_033282279.1	gene-LOC117129004
XM_033282280.1	gene-LOC117129005
XM_033282281.1	gene-LOC117129006
XM_033282439.1	gene-LOC117129066
XM_033282446.1	gene-LOC117129068
XM_009121298.3	gene-LOC103844510
XM_009121299.3	gene-LOC103844511
XM_009121297.3	gene-LOC103844509
XM_009121296.3	gene-LOC103844507
XM_018655228.2	gene-LOC103844506
XM_009121294.3	gene-LOC103844505
XM_009121293.3	gene-LOC103844504
XM_018655262.2	gene-LOC103844503
XM_018655263.2	gene-LOC103844503
XM_009121292.3	gene-LOC103844503
XM_009121291.3	gene-LOC103844503
XM_033282456.1	gene-LOC103844503
XM_009121288.3	gene-LOC103844502
XM_033282406.1	gene-LOC117129048
XM_033282463.1	gene-LOC103844500
XM_033282405.1	gene-LOC117129046
XM_033282282.1	gene-LOC103844705
XM_033282283.1	gene-LOC103844703
XM_033282430.1	gene-LOC103844498
XM_009121286.3	gene-LOC103844497
XM_033282452.1	gene-LOC117129073
XM_033282453.1	gene-LOC117129073
XM_009121284.2	gene-LOC103844495
XM_009121282.3	gene-LOC103844494
XM_009121281.3	gene-LOC103844493
XM_009121280.3	gene-LOC103844492
XM_009121279.3	gene-LOC103844490
XM_009121277.3	gene-LOC103844490
XM_018655543.2	gene-LOC103844490
XM_033282438.1	gene-LOC103844489
XM_009121275.3	gene-LOC103844489
XM_033282284.1	gene-LOC103844702
XM_009121128.3	gene-LOC103844326
XM_009121127.3	gene-LOC103844325
XM_033282460.1	gene-LOC103844324
XM_009121126.3	gene-LOC103844324
XM_009121125.3	gene-LOC103844323
XM_033282478.1	gene-LOC103844322
XM_009121120.2	gene-LOC103844321
XM_033282404.1	gene-LOC103844321
XM_009121119.3	gene-LOC103844320
XM_009121118.3	gene-LOC103844319
XM_009121117.3	gene-LOC103844317
XM_009121116.3	gene-LOC103844316
XM_033282433.1	gene-LOC103844315
XM_033282434.1	gene-LOC103844315
XM_033282285.1	gene-LOC117129007
XM_009121240.1	gene-LOC103844459
XM_009121114.3	gene-LOC103844313
XM_009121112.2	gene-LOC103844311
XM_009121113.3	gene-LOC103844312
XM_033282427.1	gene-LOC103844310
XM_033282426.1	gene-LOC103844310
XM_009121108.2	gene-LOC103844309
XM_009121107.3	gene-LOC103844307
XM_009121106.3	gene-LOC103844306
XM_009121105.2	gene-LOC103844305
XM_009121104.3	gene-LOC103844304
XM_009121103.2	gene-LOC103844303
XM_009121102.3	gene-LOC103844302
XM_009121100.3	gene-LOC103844299
XM_033282413.1	gene-LOC103844299
XM_033282414.1	gene-LOC103844299
XM_009121237.2	gene-LOC103844457
XM_009121099.3	gene-LOC103844298
XM_033282464.1	gene-LOC103844298
XM_009121098.3	gene-LOC103844297
XM_033282465.1	gene-LOC103844296
XM_009121096.3	gene-LOC103844295
XM_009121095.3	gene-LOC103844295
XM_009121094.3	gene-LOC103844295
XM_009121092.2	gene-LOC103844293
XM_018655664.2	gene-LOC108868757
XM_033282472.1	gene-LOC103844291
XM_033282470.1	gene-LOC103844291
XM_033282471.1	gene-LOC103844291
XM_009121086.3	gene-LOC103844289
XM_033282402.1	gene-LOC103844289
XM_009121088.3	gene-LOC103844289
XM_009121089.3	gene-LOC103844289
XM_009121082.3	gene-LOC103844286
XM_009121083.3	gene-LOC103844287
XM_009121084.3	gene-LOC103844288
XM_033282432.1	gene-LOC108870213
XM_033282431.1	gene-LOC108870213
XM_033282286.1	gene-LOC117129008
XM_009121081.3	gene-LOC103844284
XM_033282287.1	gene-LOC103844455
XM_009121080.3	gene-LOC103844283
XM_009121234.2	gene-LOC103844454
XM_009121079.3	gene-LOC103844281
XM_033282415.1	gene-LOC117129053
XM_033282416.1	gene-LOC117129053
XM_033282417.1	gene-LOC117129053
XM_033282423.1	gene-LOC117129058
XM_033282424.1	gene-LOC117129059
XM_033282289.1	gene-LOC117129009
XM_033282397.1	gene-LOC117129041
XM_033282396.1	gene-LOC117129041
XM_033282429.1	gene-LOC117129062
XM_009121078.3	gene-LOC103844279
XM_009121077.3	gene-LOC103844277
XM_009121076.3	gene-LOC103844276
XM_009121075.3	gene-LOC103844275
XM_009121074.3	gene-LOC103844274
XM_009121072.3	gene-LOC103844273
XM_009121073.3	gene-LOC103844273
XM_009121071.3	gene-LOC103844272
XM_033282393.1	gene-LOC103844271
XM_033282392.1	gene-LOC103844271
XM_033282391.1	gene-LOC103844271
XM_009121067.3	gene-LOC103844270
XM_033282290.1	gene-LOC103851739
XM_009121066.3	gene-LOC103844268
XM_009121065.3	gene-LOC103844267
XM_009121064.3	gene-LOC103844266
XM_009121062.3	gene-LOC103844264
XM_009121063.3	gene-LOC103844265
XM_033282468.1	gene-LOC103844263
XM_009121060.3	gene-LOC103844262
XM_033282408.1	gene-LOC117129050
XM_033282395.1	gene-LOC117129040
XM_033282394.1	gene-LOC117129040
XM_009121056.3	gene-LOC103844259
XM_009121057.2	gene-LOC103844259
XM_009121058.3	gene-LOC103844260
XM_033282412.1	gene-LOC103844260
XM_018655540.2	gene-LOC103844260
XM_018655539.2	gene-LOC103844260
XM_009121055.3	gene-LOC103844258
XM_009121054.3	gene-LOC103844256
XM_009121052.3	gene-LOC103844255
XM_033282410.1	gene-LOC103844255
XM_033282409.1	gene-LOC103844255
XM_033282428.1	gene-LOC103844254
XM_009121050.3	gene-LOC103844254
XM_009121049.3	gene-LOC103844253
XM_009121046.3	gene-LOC103844251
XM_009121048.3	gene-LOC103844252
XM_033282473.1	gene-LOC103844453
XM_009121043.3	gene-LOC103844250
XM_033282443.1	gene-LOC103844250
XM_009121045.3	gene-LOC103844250
XM_018655546.2	gene-LOC103844250
XM_033282442.1	gene-LOC103844250
XM_033282441.1	gene-LOC103844250
XM_009121042.3	gene-LOC103844248
XM_009121041.3	gene-LOC103844247
XM_009121040.3	gene-LOC103844246
XM_009121230.1	gene-LOC103844451
XM_033282411.1	gene-LOC103844449
XM_009121035.3	gene-LOC103844245
XM_009121036.3	gene-LOC103844245
XM_009121037.3	gene-LOC103844245
XM_009121038.3	gene-LOC103844245
XM_033282458.1	gene-LOC103844245
XM_009121033.3	gene-LOC103844244
XM_009121032.3	gene-LOC103844243
XM_009121031.3	gene-LOC103844242
XM_018655205.2	gene-LOC103844242
XM_033282388.1	gene-LOC103844240
XM_009121030.3	gene-LOC103844240
XM_033282445.1	gene-LOC103844239
XM_033282444.1	gene-LOC103844239
XM_009121027.3	gene-LOC103844239
XM_033282425.1	gene-LOC103844236
XM_009121025.3	gene-LOC103844236
XM_009121024.2	gene-LOC103844235
XM_009121022.3	gene-LOC103844234
XM_009121021.3	gene-LOC103844233
XM_009121019.3	gene-LOC103844232
XM_033282477.1	gene-LOC103844448
XM_009121228.1	gene-LOC103844447
XM_009121018.2	gene-LOC103844230
XM_009121017.3	gene-LOC103844229
XM_009121016.3	gene-LOC103844228
XM_009121013.3	gene-LOC103844226
XM_033281559.1	gene-LOC103844226
XM_009121014.3	gene-LOC103844226
XM_009121015.2	gene-LOC103844227
XM_018655580.2	gene-LOC103844227
XM_009121012.3	gene-LOC103844225
XM_009121010.3	gene-LOC103844224
XM_009121009.3	gene-LOC103844223
XM_033282312.1	gene-LOC103844221
XM_018655661.2	gene-LOC103844221
XM_033282316.1	gene-LOC103844221
XM_033282314.1	gene-LOC103844221
XM_033282311.1	gene-LOC103844221
XM_033282315.1	gene-LOC103844221
XM_033282317.1	gene-LOC103844221
XM_009121006.3	gene-LOC103844219
XM_009121004.3	gene-LOC103844217
XM_018655683.2	gene-LOC103844217
XM_009121003.3	gene-LOC103844216
XM_009121002.3	gene-LOC103844215
XM_033282301.1	gene-LOC103844206
XM_033282302.1	gene-LOC103844206
XM_009121001.3	gene-LOC103844206
XM_009120993.3	gene-LOC103844206
XM_033282308.1	gene-LOC103844442
XM_033282307.1	gene-LOC103844442
XM_033282306.1	gene-LOC103844442
XM_009120990.3	gene-LOC103844204
XM_009120995.3	gene-LOC103844207
XM_009120994.3	gene-LOC103844207
XM_018655603.2	gene-LOC103844207
XM_009120989.3	gene-LOC103844203
XM_033282305.1	gene-LOC103844202
XM_009120988.3	gene-LOC103844202
XM_033282300.1	gene-LOC103844441
XM_009120986.3	gene-LOC103844200
XM_009120987.3	gene-LOC103844200
XM_033282298.1	gene-LOC103844199
XM_033282299.1	gene-LOC103844199
XM_009120984.3	gene-LOC103844198
XM_033282310.1	gene-LOC103844198
XM_009120980.3	gene-LOC103844196
XM_009120981.2	gene-LOC103844197
XM_033282303.1	gene-LOC103844197
XM_033281866.1	gene-LOC103844195
XM_009120979.3	gene-LOC103844195
XM_009120977.3	gene-LOC103844195
XM_033281864.1	gene-LOC103844195
XM_033281863.1	gene-LOC103844195
XM_033281862.1	gene-LOC103844194
XM_033281860.1	gene-LOC103844192
XM_009120973.3	gene-LOC103844192
XM_033281861.1	gene-LOC103844192
XM_009120974.2	gene-LOC103844192
XM_033282292.1	gene-LOC117129012
XM_009120972.3	gene-LOC103844190
XM_033282293.1	gene-LOC103844439
XM_009120970.3	gene-LOC103844188
XM_009120969.3	gene-LOC103844187
XM_018655699.2	gene-LOC103844186
XM_009120968.3	gene-LOC103844186
XM_009120966.3	gene-LOC103844184
XM_009120965.3	gene-LOC103844183
XM_033282500.1	gene-LOC103844438
XM_009121223.3	gene-LOC103844438
XM_009121222.3	gene-LOC103844437
XM_009120963.3	gene-LOC103844180
XM_033282584.1	gene-LOC103844179
XM_009120960.3	gene-LOC103844177
XM_009120961.3	gene-LOC103844178
XM_033282583.1	gene-LOC103844178
XM_009120959.3	gene-LOC103844176
XM_009120953.3	gene-LOC103844170
XM_009120955.3	gene-LOC103844174
XM_033282581.1	gene-LOC103844175
XM_009120956.3	gene-LOC103844175
XM_018655597.2	gene-LOC103844175
XM_033282582.1	gene-LOC103844175
XM_009120952.3	gene-LOC103844169
XM_009120948.2	gene-LOC103844165
XM_009120946.2	gene-LOC103844165
XM_009120947.2	gene-LOC103844165
XM_009120950.2	gene-LOC103844168
XM_009120949.2	gene-LOC103844168
XM_009120943.3	gene-LOC103844164
XM_009120945.3	gene-LOC103844164
XM_033281985.1	gene-LOC103844164
XM_009120944.3	gene-LOC103844164
XM_033281423.1	gene-LOC103844163
NM_001301949.1	gene-LOC103844163
XM_009120940.3	gene-LOC103844162
XM_009120936.3	gene-LOC103844161
XM_009120935.3	gene-LOC103844161
XM_009120938.3	gene-LOC103844161
XM_033281973.1	gene-LOC103844161
XM_009120934.3	gene-LOC103844160
XM_009120933.3	gene-LOC103844158
XM_009120931.3	gene-LOC103844157
XM_009120930.3	gene-LOC103844157
XM_009120929.3	gene-LOC103844157
XM_033281975.1	gene-LOC103844157
XM_033281976.1	gene-LOC103844157
XM_009120932.3	gene-LOC103844157
XM_033281974.1	gene-LOC103844157
XM_009120928.2	gene-LOC103844156
XM_009120927.3	gene-LOC103844155
XM_009120924.3	gene-LOC103844153
XM_009120926.2	gene-LOC103844154
XM_033281777.1	gene-LOC103844151
XM_033281776.1	gene-LOC103844149
XM_009120922.2	gene-LOC103844146
XM_009121216.1	gene-LOC103844429
XM_033282295.1	gene-LOC103844428
XM_033282021.1	gene-LOC117128950
XM_033282020.1	gene-LOC117128950
XM_009120921.2	gene-LOC103844144
XM_018655757.2	gene-LOC103844142
XM_018655755.2	gene-LOC103844142
XM_009120918.3	gene-LOC103844136
XM_033282133.1	gene-LOC103844135
XM_009120917.2	gene-LOC103844135
XM_033282134.1	gene-LOC103844134
XM_009120915.2	gene-LOC103844133
XM_009120914.3	gene-LOC103844132
XM_033282178.1	gene-LOC117128988
XM_033282179.1	gene-LOC103844131
XM_033281724.1	gene-LOC117128905
XM_033282296.1	gene-LOC117129014
XM_033281725.1	gene-LOC117128906
XM_033281726.1	gene-LOC117128906
XM_009131523.3	gene-LOC103854583
XM_009131522.2	gene-LOC103854582
XM_033282612.1	gene-LOC108870912
XM_033282606.1	gene-LOC108870912
XM_033282616.1	gene-LOC108870912
XM_033282613.1	gene-LOC108870912
XM_033282611.1	gene-LOC108870912
XM_033282617.1	gene-LOC108870912
XM_033282614.1	gene-LOC108870912
XM_033282610.1	gene-LOC108870912
XM_033282609.1	gene-LOC108870912
XM_033282608.1	gene-LOC108870912
XM_033282607.1	gene-LOC108870912
XM_033282604.1	gene-LOC108870912
XM_033282618.1	gene-LOC108870912
XM_033282605.1	gene-LOC108870912
XM_033282603.1	gene-LOC108870912
XM_033282615.1	gene-LOC108870912
XM_009120909.2	gene-LOC103844128
XM_009120908.2	gene-LOC103844128
XM_009120910.3	gene-LOC103844129
XM_009120907.3	gene-LOC103844126
XM_009121211.3	gene-LOC103844425
XM_009120905.2	gene-LOC103844124
XM_033281606.1	gene-LOC103844125
XM_009120906.3	gene-LOC103844125
XM_009120904.3	gene-LOC103844123
XM_033281607.1	gene-LOC103844122
XM_009120902.3	gene-LOC103844121
XM_033282678.1	gene-LOC103844121
XM_009120901.2	gene-LOC103844120
XM_009120899.3	gene-LOC103844119
XM_009120898.2	gene-LOC103844117
XM_009120896.3	gene-LOC103844114
XM_009120897.3	gene-LOC103844115
XM_033282677.1	gene-LOC103844113
XM_033282682.1	gene-LOC103844112
XM_009121209.3	gene-LOC103844423
XM_033282680.1	gene-LOC103844422
XM_033282679.1	gene-LOC103844422
XM_033282681.1	gene-LOC103844422
XM_033282297.1	gene-LOC117125690
XM_009120890.3	gene-LOC103844110
XM_033281484.1	gene-LOC103844109
XM_009120887.3	gene-LOC103844109
XM_009120886.3	gene-LOC103844108
XM_009120885.3	gene-LOC103844106
XM_009120884.3	gene-LOC103844106
XM_018655283.2	gene-LOC103844105
XM_033281486.1	gene-LOC103844105
XM_009120882.2	gene-LOC103844104
XM_009120879.3	gene-LOC103844103
XM_033281487.1	gene-LOC103844102
XM_009120878.3	gene-LOC103844102
XM_009120875.3	gene-LOC103844101
XM_033281489.1	gene-LOC103844101
XM_009120874.3	gene-LOC103844100
XM_033281490.1	gene-LOC103844099
XM_009120872.3	gene-LOC103844099
XM_009120871.3	gene-LOC103844097
XM_009120869.3	gene-LOC103844096
XM_009120870.3	gene-LOC103844096
XM_009120868.3	gene-LOC103844095
XM_018655202.2	gene-LOC103844095
XM_033282580.1	gene-LOC103844094
XM_009120866.3	gene-LOC103844093
XM_009120865.3	gene-LOC103844092
XM_018655609.2	gene-LOC103844092
XM_009120863.3	gene-LOC103844091
XM_009120862.3	gene-LOC103844090
XM_033282346.1	gene-LOC103844087
XM_033282350.1	gene-LOC117129024
XM_033282349.1	gene-LOC103844084
XM_009120858.3	gene-LOC103844084
XM_033282348.1	gene-LOC103844083
XM_009120857.2	gene-LOC103844083
XM_009120854.3	gene-LOC103844082
XM_009120852.3	gene-LOC103844080
XM_009120853.3	gene-LOC103844081
NM_001302065.1	gene-LOC103844081
XM_009120849.3	gene-LOC103844077
XM_009120850.2	gene-LOC103844078
NM_001302061.1	gene-LOC103844078
XM_009120846.3	gene-LOC103844076
XM_009120847.3	gene-LOC103844076
XM_009120848.3	gene-LOC103844076
XM_009120845.3	gene-LOC103844075
XM_009120842.3	gene-LOC103844073
XM_009120841.3	gene-LOC103844072
XM_009120840.3	gene-LOC103844071
XM_018655523.2	gene-LOC108870198
XM_033282532.1	gene-LOC103844068
XM_033282572.1	gene-LOC103844067
XM_033282566.1	gene-LOC117129163
XM_033282571.1	gene-LOC108870323
XM_033282570.1	gene-LOC108870323
XM_033282569.1	gene-LOC117129166
XM_033282565.1	gene-LOC117129162
XM_033282568.1	gene-LOC117129165
XM_033282563.1	gene-LOC117129160
XM_033282564.1	gene-LOC117129160
XM_033282567.1	gene-LOC117129164
XM_009120837.3	gene-LOC103844066
XM_009120836.2	gene-LOC103844065
XM_033282573.1	gene-LOC103844060
XM_009120835.3	gene-LOC103844064
XM_009120834.3	gene-LOC103844062
XM_009120831.3	gene-LOC103844059
XM_009120828.3	gene-LOC103844056
XM_009120829.3	gene-LOC103844056
XM_018655659.2	gene-LOC103844057
XM_009120824.3	gene-LOC103844054
XM_009120822.3	gene-LOC103844053
XM_033282530.1	gene-LOC103844419
XM_009121205.3	gene-LOC103844419
XM_033282320.1	gene-LOC117129015
XM_009120821.3	gene-LOC103844049
XM_009120819.3	gene-LOC103844046
XM_009120820.2	gene-LOC103844047
XM_033281719.1	gene-LOC103844048
XM_009120818.3	gene-LOC103844045
XM_009120817.3	gene-LOC103844042
XM_009121203.3	gene-LOC103844417
XM_009120815.3	gene-LOC103844041
XM_009120816.2	gene-LOC103844041
XM_009120814.3	gene-LOC103844040
XM_009120813.2	gene-LOC103844038
XM_009120811.3	gene-LOC103844036
XM_009120810.3	gene-LOC103844036
XM_009120812.3	gene-LOC103844037
XM_009120809.3	gene-LOC103844035
XM_009120808.3	gene-LOC103844034
XM_009120807.3	gene-LOC103844034
XM_009120806.3	gene-LOC103844033
XM_009120804.3	gene-LOC103844032
XM_009120802.3	gene-LOC103844030
XM_009120803.3	gene-LOC103844031
XM_009120800.3	gene-LOC103844027
XM_009120801.3	gene-LOC103844028
XM_009120799.3	gene-LOC103844026
XM_009120797.3	gene-LOC103844024
XM_009120798.3	gene-LOC103844025
XM_009120796.3	gene-LOC103844023
XM_018655705.2	gene-LOC103844022
XM_009120791.2	gene-LOC103844017
XM_009120792.3	gene-LOC103844018
XM_009120793.3	gene-LOC103844018
XM_033282688.1	gene-LOC103844018
XM_033282687.1	gene-LOC103844018
XM_009120790.3	gene-LOC103844016
XM_009120789.3	gene-LOC103844016
