group,replicate,fastq_1,fastq_2,strandedness
control,11,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN157pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN157pair_2.fq.gz,unstranded
control,12,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN168pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN168pair_2.fq.gz,unstranded
control,13,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN181pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN181pair_2.fq.gz,unstranded
control,14,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN196pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN196pair_2.fq.gz,unstranded
control,15,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN211pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN211pair_2.fq.gz,unstranded
control,16,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN226pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN226pair_2.fq.gz,unstranded
control,17,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN243pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN243pair_2.fq.gz,unstranded
control,18,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN258pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN258pair_2.fq.gz,unstranded
control,19,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN272pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN272pair_2.fq.gz,unstranded
control,20,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN288pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN288pair_2.fq.gz,unstranded
control,21,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN421pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN421pair_2.fq.gz,unstranded
control,22,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN438pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN438pair_2.fq.gz,unstranded
control,23,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN454pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN454pair_2.fq.gz,unstranded
control,24,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN467pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN467pair_2.fq.gz,unstranded
control,25,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN484pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN484pair_2.fq.gz,unstranded
control,26,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN496pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN496pair_2.fq.gz,unstranded
control,27,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN513pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN513pair_2.fq.gz,unstranded
control,28,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN527pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Brassica/RNAseq_trimmed_gen4/RN527pair_2.fq.gz,unstranded
