XM_018625787.1	gene-LOC108852278
TRNAF-GAA	gene-TRNAF-GAA
XM_018596560.1	gene-LOC108823343
XM_018619765.1	gene-LOC108846506
XM_018631986.1	gene-LOC108857987
XM_018615289.1	gene-LOC108842388
TRNAH-GUG	gene-TRNAH-GUG
XM_018615300.1	gene-LOC108842397
XM_018636108.1	gene-LOC108862079
Parent=gene-LOC108842415	gene-LOC108842415
XM_018580785.1	gene-LOC108808669
XM_018625117.1	gene-LOC108851655
XM_018625107.1	gene-LOC108851645
XM_018577283.1	gene-LOC108805276
XM_018615333.1	gene-LOC108842423
XR_001942401.1	gene-LOC108805255
XM_018577255.1	gene-LOC108805255
XM_018577269.1	gene-LOC108805268
XM_018577243.1	gene-LOC108805244
XM_018608358.1	gene-LOC108835016
TRNAK-CUU	gene-TRNAK-CUU
XM_018584710.1	gene-LOC108812419
XM_018615345.1	gene-LOC108842432
XM_018628082.1	gene-LOC108854505
XM_018637112.1	gene-LOC108862850
XM_018628844.1	gene-LOC108855116
XM_018614645.1	gene-LOC108841864
XM_018628538.1	gene-LOC108854867
XM_018624963.1	gene-LOC108851521
XM_018625287.1	gene-LOC108851817
XM_018625295.1	gene-LOC108851817
XM_018619918.1	gene-LOC108846611
XM_018619857.1	gene-LOC108846611
XM_018620002.1	gene-LOC108846779
XM_018595570.1	gene-LOC108822452
XM_018592615.1	gene-LOC108819463
XM_018592540.1	gene-LOC108819463
XM_018592679.1	gene-LOC108819463
XM_018581708.1	gene-LOC108809559
XM_018581716.1	gene-LOC108809559
XM_018581700.1	gene-LOC108809559
XM_018625796.1	gene-LOC108852289
XM_018626633.1	gene-LOC108853181
XM_018613313.1	gene-LOC108840481
XM_018632665.1	gene-LOC108858791
XM_018632145.1	gene-LOC108858180
XM_018612231.1	gene-LOC108839474
XM_018582559.1	gene-LOC108810448
XM_018582545.1	gene-LOC108810430
XM_018582551.1	gene-LOC108810430
XM_018610586.1	gene-LOC108837520
XM_018629878.1	gene-LOC108856088
XM_018583687.1	gene-LOC108811617
XM_018583697.1	gene-LOC108811626
XM_018632264.1	gene-LOC108858312
XR_001949880.1	gene-LOC108854299
XR_001949881.1	gene-LOC108854299
XM_018632803.1	gene-LOC108858957
XM_018632808.1	gene-LOC108858957
XM_018578039.1	gene-LOC108806024
XM_018578051.1	gene-LOC108806032
XM_018578018.1	gene-LOC108806006
XM_018578029.1	gene-LOC108806015
XR_001949749.1	gene-LOC108853618
XM_018625465.1	gene-LOC108851981
XM_018630167.1	gene-LOC108856381
XM_018628807.1	gene-LOC108855092
XM_018615358.1	gene-LOC108842440
XM_018586707.1	gene-LOC108814190
XM_018586714.1	gene-LOC108814190
XM_018582538.1	gene-LOC108810394
XM_018582605.1	gene-LOC108810394
XM_018587762.1	gene-LOC108815099
XM_018615370.1	gene-LOC108842449
XM_018615381.1	gene-LOC108842458
XM_018625886.1	gene-LOC108852382
XM_018585716.1	gene-LOC108813221
XM_018585703.1	gene-LOC108813210
XM_018627265.1	gene-LOC108853819
XM_018627235.1	gene-LOC108853790
XM_018627209.1	gene-LOC108853771
XM_018627226.1	gene-LOC108853771
XM_018627219.1	gene-LOC108853771
XM_018627246.1	gene-LOC108853800
XM_018627257.1	gene-LOC108853810
XM_018627303.1	gene-LOC108853851
XM_018627316.1	gene-LOC108853851
XM_018627309.1	gene-LOC108853851
XR_001949783.1	gene-LOC108853892
XR_001949785.1	gene-LOC108853892
XR_001949782.1	gene-LOC108853892
XR_001949788.1	gene-LOC108853892
XM_018627277.1	gene-LOC108853829
XM_018627291.1	gene-LOC108853829
XM_018627284.1	gene-LOC108853829
XR_001949781.1	gene-LOC108853870
XM_018627337.1	gene-LOC108853870
XM_018627329.1	gene-LOC108853870
XM_018627353.1	gene-LOC108853870
XM_018627343.1	gene-LOC108853870
XM_018583120.1	gene-LOC108811022
XM_018614743.1	gene-LOC108841955
XM_018615392.1	gene-LOC108842468
XM_018631351.1	gene-LOC108857367
XM_018615404.1	gene-LOC108842480
XM_018624055.1	gene-LOC108850532
XM_018624061.1	gene-LOC108850532
XM_018624051.1	gene-LOC108850532
XM_018624057.1	gene-LOC108850532
XM_018587652.1	gene-LOC108814962
XM_018615415.1	gene-LOC108842489
XM_018584598.1	gene-LOC108812322
XM_018614585.1	gene-LOC108841816
XM_018615426.1	gene-LOC108842499
XM_018631120.1	gene-LOC108857172
XM_018615440.1	gene-LOC108842506
XM_018614899.1	gene-LOC108842080
XM_018614913.1	gene-LOC108842080
XM_018614893.1	gene-LOC108842080
XM_018614907.1	gene-LOC108842080
XM_018588521.1	gene-LOC108815940
XM_018615452.1	gene-LOC108842514
XM_018635037.1	gene-LOC108861206
XM_018635044.1	gene-LOC108861206
XM_018634998.1	gene-LOC108861166
Parent=gene-LOC108861222	gene-LOC108861222
XM_018635009.1	gene-LOC108861178
XM_018635016.1	gene-LOC108861178
TRNAQ-CUG	gene-TRNAQ-CUG
XM_018635026.1	gene-LOC108861195
TRNAQ-CUG-2	gene-TRNAQ-CUG
XM_018614091.1	gene-LOC108841317
XM_018614097.1	gene-LOC108841317
XM_018614072.1	gene-LOC108841295
XM_018611829.1	gene-LOC108838947
XM_018622683.1	gene-LOC108848904
XM_018622471.1	gene-LOC108848904
XM_018622615.1	gene-LOC108848904
XM_018622889.1	gene-LOC108848904
XM_018622541.1	gene-LOC108848904
XM_018622830.1	gene-LOC108848904
XM_018622396.1	gene-LOC108848904
XM_018622759.1	gene-LOC108848904
XM_018622964.1	gene-LOC108848904
XM_018622222.1	gene-LOC108848752
XM_018622293.1	gene-LOC108848752
XM_018629870.1	gene-LOC108855950
Parent=gene-LOC108842524	gene-LOC108842524
XM_018615474.1	gene-LOC108842530
XM_018635647.1	gene-LOC108861708
XM_018615487.1	gene-LOC108842539
XM_018614847.1	gene-LOC108842040
XM_018638054.1	gene-LOC108863583
XM_018586231.1	gene-LOC108813619
XM_018586238.1	gene-LOC108813619
XM_018629018.1	gene-LOC108855245
XM_018586545.1	gene-LOC108813866
XM_018586554.1	gene-LOC108813866
XM_018581335.1	gene-LOC108809194
XM_018596674.1	gene-LOC108823436
XM_018615498.1	gene-LOC108842547
XM_018624117.1	gene-LOC108850620
XM_018624122.1	gene-LOC108850620
XM_018624153.1	gene-LOC108850657
XM_018624096.1	gene-LOC108850592
XM_018624100.1	gene-LOC108850592
XM_018624125.1	gene-LOC108850626
XM_018624135.1	gene-LOC108850637
XM_018624075.1	gene-LOC108850559
XM_018624072.1	gene-LOC108850559
XM_018624076.1	gene-LOC108850559
XM_018624145.1	gene-LOC108850647
XM_018624086.1	gene-LOC108850570
XM_018624082.1	gene-LOC108850570
XM_018624090.1	gene-LOC108850570
XM_018624091.1	gene-LOC108850588
XM_018624161.1	gene-LOC108850667
XM_018624129.1	gene-LOC108850629
XM_018615509.1	gene-LOC108842557
Parent=gene-LOC108842564	gene-LOC108842564
XM_018624111.1	gene-LOC108850611
XM_018624106.1	gene-LOC108850605
XR_001949265.1	gene-LOC108850677
XM_018624911.1	gene-LOC108851470
XM_018615548.1	gene-LOC108842574
XM_018623820.1	gene-LOC108850249
XM_018623825.1	gene-LOC108850249
XM_018584406.1	gene-LOC108812213
XM_018584387.1	gene-LOC108812196
XM_018584395.1	gene-LOC108812196
XM_018615559.1	gene-LOC108842585
XM_018599608.1	gene-LOC108826193
XM_018627580.1	gene-LOC108854075
XM_018629213.1	gene-LOC108855401
XM_018585921.1	gene-LOC108813378
XM_018585932.1	gene-LOC108813389
Parent=gene-LOC108842594	gene-LOC108842594
XM_018615580.1	gene-LOC108842603
XM_018627387.1	gene-LOC108853906
XM_018634888.1	gene-LOC108861055
XM_018634877.1	gene-LOC108861044
XM_018632579.1	gene-LOC108858695
XM_018632585.1	gene-LOC108858695
XM_018632622.1	gene-LOC108858705
XM_018632590.1	gene-LOC108858705
XM_018632595.1	gene-LOC108858705
XM_018632615.1	gene-LOC108858705
XM_018632602.1	gene-LOC108858705
XM_018632609.1	gene-LOC108858705
XR_001950414.1	gene-LOC108858754
XM_018632633.1	gene-LOC108858754
XM_018632640.1	gene-LOC108858764
XM_018632626.1	gene-LOC108858744
XM_018632647.1	gene-LOC108858773
XM_018582052.1	gene-LOC108809914
XM_018586867.1	gene-LOC108814319
XM_018586875.1	gene-LOC108814319
XM_018631631.1	gene-LOC108857626
XM_018581422.1	gene-LOC108809246
XM_018581319.1	gene-LOC108808959
XM_018581249.1	gene-LOC108808959
XM_018581177.1	gene-LOC108808959
XM_018581106.1	gene-LOC108808959
XM_018632413.1	gene-LOC108858495
XM_018632421.1	gene-LOC108858495
XM_018621345.1	gene-LOC108847931
XM_018624336.1	gene-LOC108850846
XM_018597192.1	gene-LOC108823862
XM_018615604.1	gene-LOC108842621
XM_018624543.1	gene-LOC108851124
XM_018587794.1	gene-LOC108815136
XM_018587801.1	gene-LOC108815147
Parent=gene-LOC108842631	gene-LOC108842631
XM_018632109.1	gene-LOC108858138
XM_018580015.1	gene-LOC108807769
XM_018580048.1	gene-LOC108807801
XM_018580037.1	gene-LOC108807791
XM_018580026.1	gene-LOC108807778
XM_018580030.1	gene-LOC108807778
XM_018580051.1	gene-LOC108807808
XM_018615624.1	gene-LOC108842641
XM_018631901.1	gene-LOC108857887
XM_018582001.1	gene-LOC108809863
XM_018627102.1	gene-LOC108853655
XM_018634144.1	gene-LOC108860239
XM_018582300.1	gene-LOC108810167
XM_018635267.1	gene-LOC108861407
XM_018635301.1	gene-LOC108861435
XM_018635290.1	gene-LOC108861426
XM_018635311.1	gene-LOC108861445
XM_018635279.1	gene-LOC108861416
XM_018580468.1	gene-LOC108808277
XM_018580540.1	gene-LOC108808353
XM_018586157.1	gene-LOC108813569
XM_018586178.1	gene-LOC108813578
XM_018586169.1	gene-LOC108813578
XM_018586186.1	gene-LOC108813578
XM_018628609.1	gene-LOC108854928
XM_018633363.1	gene-LOC108859457
Parent=gene-LOC108842652	gene-LOC108842652
XM_018626596.1	gene-LOC108853138
XM_018613638.1	gene-LOC108840816
XM_018615645.1	gene-LOC108842662
XM_018615655.1	gene-LOC108842672
XM_018585196.1	gene-LOC108812824
XM_018585184.1	gene-LOC108812813
XM_018624530.1	gene-LOC108851109
XM_018587933.1	gene-LOC108815287
XM_018623129.1	gene-LOC108849474
XM_018623062.1	gene-LOC108849474
XM_018623203.1	gene-LOC108849474
XM_018630027.1	gene-LOC108856258
XM_018587888.1	gene-LOC108815241
XM_018587878.1	gene-LOC108815222
XM_018587870.1	gene-LOC108815222
XR_001943524.1	gene-LOC108813048
XM_018585405.1	gene-LOC108812961
XM_018585639.1	gene-LOC108813164
XM_018585626.1	gene-LOC108813154
XM_018630466.1	gene-LOC108856615
XM_018615668.1	gene-LOC108842682
XM_018615678.1	gene-LOC108842688
XM_018629476.1	gene-LOC108855612
XM_018615690.1	gene-LOC108842697
XM_018632128.1	gene-LOC108858161
XM_018585176.1	gene-LOC108812784
XM_018636616.1	gene-LOC108862474
XM_018615701.1	gene-LOC108842705
XM_018583771.1	gene-LOC108811681
XM_018633352.1	gene-LOC108859447
XM_018635417.1	gene-LOC108861532
XM_018635425.1	gene-LOC108861532
XM_018635433.1	gene-LOC108861532
XR_001950870.1	gene-LOC108861568
XM_018635459.1	gene-LOC108861561
XM_018635447.1	gene-LOC108861551
XM_018615713.1	gene-LOC108842714
XM_018623553.1	gene-LOC108849930
XM_018632309.1	gene-LOC108858366
XM_018625124.1	gene-LOC108851630
XM_018585009.1	gene-LOC108812680
XM_018592141.1	gene-LOC108819119
XM_018592251.1	gene-LOC108819218
XM_018592323.1	gene-LOC108819218
XM_018632337.1	gene-LOC108858406
XM_018623634.1	gene-LOC108850047
XM_018623836.1	gene-LOC108850268
XM_018631619.1	gene-LOC108857615
XM_018631875.1	gene-LOC108857858
XM_018632342.1	gene-LOC108858413
XR_001947776.1	gene-LOC108839801
XM_018612578.1	gene-LOC108839801
XM_018612586.1	gene-LOC108839801
XM_018612599.1	gene-LOC108839801
XR_001949953.1	gene-LOC108854716
XM_018633493.1	gene-LOC108859581
XM_018582358.1	gene-LOC108810198
XM_018626308.1	gene-LOC108852826
XM_018626319.1	gene-LOC108852836
XM_018615736.1	gene-LOC108842731
XR_001949277.1	gene-LOC108851336
XM_018583928.1	gene-LOC108811800
XM_018615750.1	gene-LOC108842740
XM_018613250.1	gene-LOC108840415
XM_018617307.1	gene-LOC108844098
XM_018581436.1	gene-LOC108809289
XM_018581448.1	gene-LOC108809298
XM_018581455.1	gene-LOC108809298
TRNAN-GUU	gene-TRNAN-GUU
XM_018628488.1	gene-LOC108854817
XM_018612167.1	gene-LOC108839395
XM_018613095.1	gene-LOC108840254
XM_018627046.1	gene-LOC108853633
XM_018615761.1	gene-LOC108842748
XM_018580289.1	gene-LOC108808089
XM_018580283.1	gene-LOC108808081
XM_018586105.1	gene-LOC108813523
XM_018586116.1	gene-LOC108813530
XM_018631239.1	gene-LOC108857278
XM_018586533.1	gene-LOC108813857
XM_018633534.1	gene-LOC108859622
XM_018585749.1	gene-LOC108813249
XM_018585776.1	gene-LOC108813249
XM_018585767.1	gene-LOC108813249
XM_018585759.1	gene-LOC108813249
XR_001943551.1	gene-LOC108813270
Parent=gene-LOC108842754	gene-LOC108842754
XM_018636417.1	gene-LOC108862295
XM_018607865.1	gene-LOC108834499
XM_018577367.1	gene-LOC108805338
XM_018577359.1	gene-LOC108805338
XM_018630688.1	gene-LOC108856799
XM_018615786.1	gene-LOC108842763
XM_018632362.1	gene-LOC108858435
XM_018579145.1	gene-LOC108806928
XM_018579156.1	gene-LOC108806937
XM_018579169.1	gene-LOC108806937
XM_018579176.1	gene-LOC108806937
XM_018579162.1	gene-LOC108806937
XM_018579185.1	gene-LOC108806937
XM_018579204.1	gene-LOC108806969
XM_018579198.1	gene-LOC108806969
XM_018615818.1	gene-LOC108842791
XM_018615830.1	gene-LOC108842799
XM_018579225.1	gene-LOC108806996
XM_018579232.1	gene-LOC108806996
XM_018579245.1	gene-LOC108807010
XM_018579215.1	gene-LOC108806985
XM_018615840.1	gene-LOC108842810
XM_018615853.1	gene-LOC108842818
XM_018615863.1	gene-LOC108842826
XM_018615875.1	gene-LOC108842836
XM_018625552.1	gene-LOC108852055
XM_018625545.1	gene-LOC108852055
XM_018625999.1	gene-LOC108852491
XM_018626003.1	gene-LOC108852491
XM_018631177.1	gene-LOC108857220
XM_018615887.1	gene-LOC108842845
XM_018615900.1	gene-LOC108842854
Parent=gene-LOC108842863	gene-LOC108842863
XM_018615921.1	gene-LOC108842874
XM_018582775.1	gene-LOC108810670
XM_018634180.1	gene-LOC108860281
XM_018634191.1	gene-LOC108860290
XM_018634162.1	gene-LOC108860261
XM_018634171.1	gene-LOC108860270
XM_018634228.1	gene-LOC108860314
XM_018634221.1	gene-LOC108860314
XM_018634216.1	gene-LOC108860314
XM_018634234.1	gene-LOC108860334
XM_018634201.1	gene-LOC108860300
XM_018634209.1	gene-LOC108860300
XM_018632672.1	gene-LOC108858801
XM_018612157.1	gene-LOC108839378
XM_018612150.1	gene-LOC108839378
XM_018612163.1	gene-LOC108839378
XM_018612498.1	gene-LOC108839708
XM_018612491.1	gene-LOC108839708
XM_018612487.1	gene-LOC108839708
TRNAT-UGU	gene-TRNAT-UGU
XR_001950285.1	gene-LOC108857021
XR_001950286.1	gene-LOC108857021
XR_001950284.1	gene-LOC108857021
XM_018631252.1	gene-LOC108857287
XM_018578715.1	gene-LOC108806567
XM_018578725.1	gene-LOC108806567
XM_018578697.1	gene-LOC108806551
XM_018578705.1	gene-LOC108806551
XR_001942573.1	gene-LOC108806580
XM_018578686.1	gene-LOC108806540
XM_018629818.1	gene-LOC108855890
XM_018627664.1	gene-LOC108854149
XM_018627652.1	gene-LOC108854139
XM_018627674.1	gene-LOC108854159
XM_018605722.1	gene-LOC108832197
XM_018635853.1	gene-LOC108861875
XM_018627568.1	gene-LOC108854067
XM_018581530.1	gene-LOC108809381
XM_018581519.1	gene-LOC108809371
XM_018581540.1	gene-LOC108809391
XM_018597705.1	gene-LOC108824276
XM_018597811.1	gene-LOC108824362
XM_018633971.1	gene-LOC108860062
XM_018580071.1	gene-LOC108807816
XM_018580060.1	gene-LOC108807816
XM_018580066.1	gene-LOC108807816
XM_018580084.1	gene-LOC108807835
XM_018580080.1	gene-LOC108807835
XM_018580091.1	gene-LOC108807846
XM_018580096.1	gene-LOC108807854
XM_018585455.1	gene-LOC108813026
XM_018585477.1	gene-LOC108813043
XM_018585465.1	gene-LOC108813035
XM_018626820.1	gene-LOC108853403
XM_018637405.1	gene-LOC108863085
XM_018637396.1	gene-LOC108863085
XM_018615932.1	gene-LOC108842883
XM_018637414.1	gene-LOC108863100
XM_018637422.1	gene-LOC108863100
XM_018587351.1	gene-LOC108814717
XM_018587344.1	gene-LOC108814717
XM_018587368.1	gene-LOC108814734
XM_018587361.1	gene-LOC108814734
XM_018577681.1	gene-LOC108805711
XM_018577788.1	gene-LOC108805801
TRNAI-AAU	gene-TRNAI-AAU
XM_018616993.1	gene-LOC108843791
XR_001948379.1	gene-LOC108844061
XM_018617265.1	gene-LOC108844061
XM_018617224.1	gene-LOC108844025
XM_018617064.1	gene-LOC108843905
XM_018617214.1	gene-LOC108844018
XM_018617255.1	gene-LOC108844053
XM_018617075.1	gene-LOC108843913
XM_018617120.1	gene-LOC108843953
XM_018617033.1	gene-LOC108843877
XM_018617041.1	gene-LOC108843877
XM_018617025.1	gene-LOC108843877
TRNAA-AGC	gene-TRNAA-AGC
TRNAA-AGC-2	gene-TRNAA-AGC
XM_018617189.1	gene-LOC108844002
XM_018617140.1	gene-LOC108843962
XM_018617130.1	gene-LOC108843962
XM_018617086.1	gene-LOC108843923
XM_018616994.1	gene-LOC108843807
XM_018617199.1	gene-LOC108844011
XM_018617177.1	gene-LOC108843986
XM_018617170.1	gene-LOC108843986
XM_018616997.1	gene-LOC108843849
XM_018616996.1	gene-LOC108843823
XM_018616995.1	gene-LOC108843823
XM_018617109.1	gene-LOC108843942
XM_018615943.1	gene-LOC108842893
XM_018617150.1	gene-LOC108843973
XM_018617159.1	gene-LOC108843973
XM_018617052.1	gene-LOC108843897
XM_018617231.1	gene-LOC108844034
XM_018617243.1	gene-LOC108844045
XM_018617098.1	gene-LOC108843933
XM_018615953.1	gene-LOC108842903
XM_018617013.1	gene-LOC108843864
XM_018617005.1	gene-LOC108843864
TRNAR-CCU	gene-TRNAR-CCU
XM_018615965.1	gene-LOC108842912
TRNAG-GCC	gene-TRNAG-GCC
XM_018584512.1	gene-LOC108812286
TRNAG-GCC-2	gene-TRNAG-GCC
XM_018584540.1	gene-LOC108812295
XM_018584525.1	gene-LOC108812295
XM_018584533.1	gene-LOC108812295
XM_018586050.1	gene-LOC108813477
XR_001943571.1	gene-LOC108813487
Parent=gene-LOC108842922	gene-LOC108842922
XM_018629511.1	gene-LOC108855640
XM_018581049.1	gene-LOC108808936
XM_018631022.1	gene-LOC108857089
Parent=gene-LOC108858186	gene-LOC108858186
XM_018613131.1	gene-LOC108840262
XM_018620416.1	gene-LOC108847195
XM_018620513.1	gene-LOC108847275
XM_018579345.1	gene-LOC108807066
XM_018623936.1	gene-LOC108850370
XM_018581653.1	gene-LOC108809513
XM_018581660.1	gene-LOC108809513
XM_018581680.1	gene-LOC108809539
XM_018581671.1	gene-LOC108809529
XM_018581689.1	gene-LOC108809549
XR_001949270.1	gene-LOC108850864
XR_001949271.1	gene-LOC108850864
XM_018587814.1	gene-LOC108815162
XM_018615998.1	gene-LOC108842938
XM_018616011.1	gene-LOC108842947
XM_018613352.1	gene-LOC108840522
XM_018613602.1	gene-LOC108840781
XM_018616022.1	gene-LOC108842955
Parent=gene-LOC108842963	gene-LOC108842963
XM_018636860.1	gene-LOC108862652
XM_018624936.1	gene-LOC108851496
XM_018616045.1	gene-LOC108842973
XM_018581897.1	gene-LOC108809712
XM_018616057.1	gene-LOC108842983
XM_018637740.1	gene-LOC108863343
XM_018637730.1	gene-LOC108863334
XM_018637718.1	gene-LOC108863325
XM_018637044.1	gene-LOC108862796
XM_018637055.1	gene-LOC108862806
XM_018637078.1	gene-LOC108862824
XM_018637031.1	gene-LOC108862788
XM_018637067.1	gene-LOC108862815
XM_018637088.1	gene-LOC108862831
XM_018584015.1	gene-LOC108811903
XM_018584002.1	gene-LOC108811894
XM_018633757.1	gene-LOC108859846
XM_018632544.1	gene-LOC108858653
XM_018631912.1	gene-LOC108857897
XM_018579276.1	gene-LOC108807038
XM_018579256.1	gene-LOC108807020
XM_018579267.1	gene-LOC108807028
XM_018627547.1	gene-LOC108854049
XM_018633778.1	gene-LOC108858891
XM_018633077.1	gene-LOC108858891
XM_018634418.1	gene-LOC108858891
XM_018635077.1	gene-LOC108858891
XM_018580695.1	gene-LOC108808570
XM_018580686.1	gene-LOC108808559
Parent=gene-LOC108843012	gene-LOC108843012
XM_018586333.1	gene-LOC108813698
XM_018586323.1	gene-LOC108813689
XM_018634893.1	gene-LOC108861066
XM_018612456.1	gene-LOC108839684
Parent=gene-LOC108856770	gene-LOC108856770
XM_018630666.1	gene-LOC108856781
XM_018629464.1	gene-LOC108855604
XM_018626025.1	gene-LOC108852516
XM_018630016.1	gene-LOC108856249
XM_018627462.1	gene-LOC108853979
