group,replicate,fastq_1,fastq_2,strandedness
control,12,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A12pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A12pair_2.fq.gz,unstranded
control,13,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A13pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A13pair_2.fq.gz,unstranded
control,14,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A15pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A15pair_2.fq.gz,unstranded
control,15,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A163pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A163pair_2.fq.gz,unstranded
control,16,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A21pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A21pair_2.fq.gz,unstranded
control,17,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A23pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A23pair_2.fq.gz,unstranded
control,18,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A24pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A24pair_2.fq.gz,unstranded
control,19,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A25pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A25pair_2.fq.gz,unstranded
control,20,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A28pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A28pair_2.fq.gz,unstranded
control,21,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A32pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A32pair_2.fq.gz,unstranded
control,22,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A36pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A36pair_2.fq.gz,unstranded
control,23,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A39pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A39pair_2.fq.gz,unstranded
control,24,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A40pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A40pair_2.fq.gz,unstranded
control,25,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A43pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A43pair_2.fq.gz,unstranded
control,26,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A45pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A45pair_2.fq.gz,unstranded
control,27,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A47pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A47pair_2.fq.gz,unstranded
control,28,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A4pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A4pair_2.fq.gz,unstranded
control,29,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A51pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A51pair_2.fq.gz,unstranded
control,30,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A52pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A52pair_2.fq.gz,unstranded
control,31,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A54pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A54pair_2.fq.gz,unstranded
control,32,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A55pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A55pair_2.fq.gz,unstranded
control,33,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A57pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A57pair_2.fq.gz,unstranded
control,34,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A59pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A59pair_2.fq.gz,unstranded
control,35,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A5pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A5pair_2.fq.gz,unstranded
control,36,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A60pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A60pair_2.fq.gz,unstranded
control,37,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A61pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A61pair_2.fq.gz,unstranded
control,38,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A62pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A62pair_2.fq.gz,unstranded
control,39,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A63pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A63pair_2.fq.gz,unstranded
control,40,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A66pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A66pair_2.fq.gz,unstranded
control,41,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A68pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A68pair_2.fq.gz,unstranded
control,42,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A74pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A74pair_2.fq.gz,unstranded
control,43,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A80pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A80pair_2.fq.gz,unstranded
control,44,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A83pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A83pair_2.fq.gz,unstranded
control,45,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A88pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A88pair_2.fq.gz,unstranded
control,46,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A89pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A89pair_2.fq.gz,unstranded
control,47,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A91pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A91pair_2.fq.gz,unstranded
control,48,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A93pair_1.fq.gz,/mainfs/scratch/bat1m21/brassica-project/data/Raphanus/RNAseq_trimmed/A93pair_2.fq.gz,unstranded
